city,city_ascii,lat,lng,country,iso3,population
Angra do Heroísmo,Angra do Heroismo,38.6558,-27.2153,Portugal,PRT,35402
Além Paraíba,Alem Paraiba,-21.8878,-42.7039,Brazil,BRA,35401
Aïne Draham,Aine Draham,36.7833,8.7000,Tunisia,TUN,35400
Pentecoste,Pentecoste,-3.7928,-39.2700,Brazil,BRA,35400
Bautista,Bautista,15.7833,120.5000,Philippines,PHL,35398
També,Tambe,-7.4100,-35.1128,Brazil,BRA,35398
Morong,Morong,14.6800,120.2683,Philippines,PHL,35394
Guskhara,Guskhara,23.4928,87.7347,India,IND,35388
Millerovo,Millerovo,48.9167,40.4000,Russia,RUS,35384
Lębork,Lebork,54.5500,17.7500,Poland,POL,35374
Meppen,Meppen,52.6906,7.2910,Germany,DEU,35373
Itaberaí,Itaberai,-16.0200,-49.8100,Brazil,BRA,35371
Morohongō,Morohongo,35.9417,139.3161,Japan,JPN,35370
Unnan,Unnan,35.2878,132.9006,Japan,JPN,35366
Upper Arlington,Upper Arlington,40.0272,-83.0704,United States,USA,35366
Dama,Dama,30.5009,120.3413,China,CHN,35357
Casimiro de Abreu,Casimiro de Abreu,-22.4808,-42.2039,Brazil,BRA,35347
La Palma,La Palma,22.7472,-83.5525,Cuba,CUB,35346
Langford Station,Langford Station,48.4506,-123.5058,Canada,CAN,35342
Bragança,Braganca,41.8000,-6.7500,Portugal,PRT,35341
Cegléd,Cegled,47.1772,19.7981,Hungary,HUN,35334
Timbuktu,Timbuktu,16.7733,-2.9994,Mali,MLI,35330
Bradford West Gwillimbury,Bradford West Gwillimbury,44.1333,-79.6333,Canada,CAN,35325
Tonalá,Tonala,16.0894,-93.7514,Mexico,MEX,35322
Charqueadas,Charqueadas,-29.9550,-51.6250,Brazil,BRA,35320
Yarumal,Yarumal,7.0306,-75.5905,Colombia,COL,35315
Auburn,Auburn,38.8950,-121.0778,United States,USA,35311
Saint-Benoît,Saint-Benoit,-21.0335,55.7128,Reunion,REU,35310
Villa Adelina,Villa Adelina,-34.5175,-58.5475,Argentina,ARG,35307
Yasynuvata,Yasynuvata,48.1167,37.8333,Ukraine,UKR,35303
Cieza,Cieza,38.2392,-1.4189,Spain,ESP,35301
Juban,Juban,12.8500,123.9833,Philippines,PHL,35297
Pilar,Pilar,-9.5972,-35.9567,Brazil,BRA,35295
Kerava,Kerava,60.4028,25.1000,Finland,FIN,35293
Plainfield,Plainfield,39.6953,-86.3717,United States,USA,35287
Chakapara,Chakapara,22.6300,88.3500,India,IND,35282
El Hajeb,El Hajeb,33.6928,-5.3711,Morocco,MAR,35282
La Ciotat,La Ciotat,43.1769,5.6086,France,FRA,35281
Villenave-d’Ornon,Villenave-d'Ornon,44.7806,-0.5658,France,FRA,35278
Atami,Atami,35.0961,139.0717,Japan,JPN,35276
Quimbaya,Quimbaya,4.6239,-75.7631,Colombia,COL,35276
San Miguel Ixtahuacán,San Miguel Ixtahuacan,15.2500,-91.7500,Guatemala,GTM,35276
Aizumi,Aizumi,34.1267,134.4950,Japan,JPN,35269
Ouro Branco,Ouro Branco,-20.5208,-43.6919,Brazil,BRA,35268
Westmont,Westmont,33.9417,-118.3018,United States,USA,35266
Bridlington,Bridlington,54.0819,-0.1923,United Kingdom,GBR,35264
Luga,Luga,58.7333,29.8500,Russia,RUS,35262
La Troncal,La Troncal,-2.4278,-79.3389,Ecuador,ECU,35259
Tangancícuaro de Arista,Tangancicuaro de Arista,19.8889,-102.2050,Mexico,MEX,35256
Gorinchem,Gorinchem,51.8306,4.9742,Netherlands,NLD,35255
