iso3,city,country,population,city_ascii,lng,lat
KEN,Nakuru,Kenya,307990,Nakuru,36.0667,-0.2833
PRK,Sariwŏn,North Korea,307764,Sariwon,125.7589,38.5039
VEN,Puerto La Cruz,Venezuela,306261,Puerto La Cruz,-64.6167,10.2167
PRT,Vila Nova de Gaia,Portugal,302295,Vila Nova de Gaia,-8.6167,41.1333
ETH,Āwasa,Ethiopia,300100,Awasa,38.4667,7.05
GTM,Coatepeque,Guatemala,300000,Coatepeque,-91.8667,14.7
VEN,Mérida,Venezuela,300000,Merida,-71.1333,8.5833
SYR,Ar Raqqah,Syria,299824,Ar Raqqah,39.01,35.95
AUS,Central Coast,Australia,297713,Central Coast,151.2,-33.3
POL,Białystok,Poland,297554,Bialystok,23.1667,53.1167
